Property_ID,Habitability_score
0x6e93,57.96875
0x8787,69.28125
0x6c17,73.28125
0x9dbd,73.890625
0xbfde,84.59375
0x6a39,57.96875
0x47a6,76.984375
0x7687,68.671875
0x963a,79.984375
0xbcbb,72.375
0x4950,68.671875
0x316a,75.71875
0x6b21,70.9375
0x6252,79.140625
0xa67f,86.921875
0x2cd8,64.40625
0x5926,62.78125
0x9a42,79.015625
0x4b5e,73.890625
0x76af,69.28125
0xb44b,57.96875
0x2e49,64.40625
0x83fc,57.96875
0x26b1,65.671875
0x210b,72.375
0xb384,86.078125
0x455e,77.8125
0x6ae6,81.46875
0x9aff,79.140625
0x6916,75.71875
0x145a,83.640625
0xbfd0,72.375
0x1ffa,74.75
0x9412,79.140625
0x9860,76.984375
0x690f,88.453125
0x80ec,78.40625
0x7223,71.109375
0xf99,61.0625
0x953d,74.53125
0x4305,86.078125
0x639e,83.234375
0x2ba8,65.671875
0x8c0c,74.75
0x284b,76.984375
0xa832,82.390625
0xbeea,74.53125
0xaaa7,69.28125
0xc702,84.828125
0x7817,76.578125
0x56d5,73.890625
0x3d65,81.46875
0x5ed6,71.109375
0xc0d4,82.421875
0x4abb,57.96875
0x4f8e,80.21875
0xa4c8,61.0625
0x9085,72.375
0xb1aa,76.984375
0x3a63,85.671875
0x15ac,81.46875
0x1066,72.375
0x5ff1,72.375
0x35f3,67.09375
0x9dba,71.109375
0x78df,83.015625
0x3261,88.453125
0x5fbc,69.28125
0xf3a,72.375
0x5578,73.890625
0x8867,90.28125
0xfad,72.375
0x8f94,82.421875
0x55b9,74.765625
0xc320,76.984375
0x6cbc,65.671875
0x8226,62.578125
0xc937,86.078125
0x67cb,76.984375
0xbbb4,75.71875
0xa086,73.28125
0x6e13,74.75
0xc633,62.578125
0x7d66,73.890625
0x62d9,73.28125
0x6c54,69.28125
0x2194,74.75
0x5af6,73.28125
0x1278,79.359375
0xeaf,81.46875
0xaf6b,59.796875
0x6f27,67.828125
0x8d0d,57.96875
0x6c70,78.40625
0x7213,72.375
0x89a6,62.578125
0x6543,84.59375
0x5d77,62.578125
0x2ffd,82.390625
0x402c,80.21875
0x93df,74.53125
0x5162,62.578125
0x26e2,69.28125
0x6c33,57.96875
0x21b6,83.015625
0xc799,74.53125
0x7011,65.671875
0x8018,71.703125
0xc73f,74.53125
0x7af1,79.359375
0x69b8,76.984375
0x8a31,73.890625
0x9497,83.015625
0x9495,79.359375
0x488c,71.109375
0xbab1,72.375
0x875c,72.375
0x1cdd,62.578125
0xc5b0,65.671875
0x9eaf,57.359375
0x66df,74.53125
0x107c,72.375
0x9f1d,82.421875
0x9d34,76.984375
0x66a9,84.828125
0x722a,79.359375
0x5e91,82.421875
0xd7a,73.890625
0xc7be,79.140625
0x47f3,72.375
0x1168,64.40625
0x8fdc,71.703125
0x6aa2,62.578125
0x63d3,80.21875
0xac28,57.96875
0x6d74,74.140625
0x411d,73.28125
0xbc3a,88.453125
0x30b5,81.46875
0xab36,78.40625
0x1653,61.0625
0x2294,73.28125
0x90b7,73.890625
0x83e0,76.984375
0x8d63,71.109375
0x3038,73.890625
0x7293,69.28125
0x7c1a,81.46875
0xa43e,74.765625
0x4c03,73.890625
0xc7fe,57.96875
0x7cfd,67.09375
0xa4f8,63.21875
0x3ff1,77.8125
0xa2a8,76.984375
0x7656,76.984375
0xb226,76.984375
0xc443,75.71875
0x7d7a,76.984375
0x6075,86.078125
0x45f2,57.96875
0x86f7,65.671875
0x121a,67.828125
0x5d53,69.28125
0xb292,79.140625
0x155a,79.140625
0xc6bd,81.46875
0x9716,79.140625
0x1e7e,63.21875
0x1b9a,74.75
0x584c,77.8125
0x5b83,73.890625
0x24db,68.90625
0x2a4e,81.1875
0x9455,74.53125
0x589c,72.375
0x8e04,73.890625
0x4420,86.921875
0xbb11,74.53125
0x7c73,57.96875
0x58be,84.59375
0xb0dd,78.40625
0x254c,73.890625
0x532c,83.015625
0x79ad,75.71875
0x6702,81.46875
0x229c,73.890625
0x77c7,82.421875
0xa3a,73.890625
0xa415,79.359375
0xa2b1,69.28125
0xbe0c,79.4375
0x4160,87.84375
0xaaf0,71.109375
0x95fd,63.21875
0x3521,83.015625
0x9752,62.578125
0x820c,76.34375
0xf84,62.578125
0x4c8e,65.671875
0x132a,72.328125
0x668,76.984375
0x3d7e,57.96875
0xa6f2,77.8125
0xb2cf,74.53125
0x7408,88.453125
0x3105,73.890625
0x1e67,91.53125
0xb018,67.828125
0x37b2,76.984375
0x63d9,72.375
0xad38,71.109375
0x2625,61.0625
0x7686,72.375
0x2cf7,59.625
0xc27a,57.96875
0xbeaa,79.140625
0x5096,77.78125
0x252c,70.15625
0x702b,69.28125
0x65a0,73.890625
0xc5f6,83.84375
0x3779,62.578125
0xa657,72.375
0x90c8,65.671875
0x7a93,79.359375
0x6b22,83.84375
0x6348,72.375
0x7667,86.078125
0x3d11,69.28125
0x39a6,74.75
0x21eb,81.46875
0xad62,72.375
0x128e,73.890625
