Property_ID,Habitability_score
0x6e93,29.978683
0x8787,77.143295
0x6c17,65.36561
0x9dbd,69.186646
0xbfde,78.45691
0x6a39,64.53088
0x47a6,72.734024
0x7687,70.96906
0x963a,71.06148
0xbcbb,71.95253
0x4950,64.72811
0x316a,73.025475
0x6b21,66.31594
0x6252,72.5405
0xa67f,77.03667
0x2cd8,79.14742
0x5926,24.152634
0x9a42,75.58186
0x4b5e,75.591034
0x76af,69.37242
0xb44b,73.7289
0x2e49,74.914795
0x83fc,50.97135
0x26b1,38.853603
0x210b,81.002655
0xb384,89.29812
0x455e,76.27205
0x6ae6,79.511955
0x9aff,74.87182
0x6916,81.49654
0x145a,70.925964
0xbfd0,72.44917
0x1ffa,72.596725
0x9412,81.25729
0x9860,80.72594
0x690f,90.41188
0x80ec,74.98282
0x7223,79.179214
0xf99,61.031265
0x953d,72.27776
0x4305,90.18302
0x639e,83.14906
0x2ba8,72.584885
0x8c0c,80.924
0x284b,74.73191
0xa832,78.008606
0xbeea,72.79173
0xaaa7,38.450424
0xc702,68.00876
0x7817,81.963806
0x56d5,61.291035
0x3d65,81.33345
0x5ed6,81.59232
0xc0d4,85.46177
0x4abb,20.945467
0x4f8e,75.76417
0xa4c8,64.95128
0x9085,70.05266
0xb1aa,70.77925
0x3a63,84.00966
0x15ac,68.655304
0x1066,75.316284
0x5ff1,73.517784
0x35f3,74.404144
0x9dba,71.76846
0x78df,73.31868
0x3261,88.265656
0x5fbc,82.963425
0xf3a,75.886345
0x5578,81.65713
0x8867,92.059494
0xfad,71.66065
0x8f94,80.04755
0x55b9,74.70921
0xc320,77.83812
0x6cbc,80.02619
0x8226,75.44205
0xc937,90.19982
0x67cb,73.65564
0xbbb4,61.842934
0xa086,76.237144
0x6e13,74.89293
0xc633,73.21539
0x7d66,59.91456
0x62d9,79.79375
0x6c54,82.80177
0x2194,75.033936
0x5af6,79.19425
0x1278,77.85983
0xeaf,77.48701
0xaf6b,35.471176
0x6f27,77.06976
0x8d0d,68.71748
0x6c70,71.90591
0x7213,70.10231
0x89a6,70.96034
0x6543,89.25697
0x5d77,74.50397
0x2ffd,77.337265
0x402c,81.83246
0x93df,78.191284
0x5162,72.95232
0x26e2,77.260895
0x6c33,62.11161
0x21b6,76.34279
0xc799,69.36925
0x7011,73.49136
0x8018,80.10989
0xc73f,73.28129
0x7af1,75.93884
0x69b8,79.05528
0x8a31,81.83466
0x9497,84.07158
0x9495,70.69974
0x488c,67.434654
0xbab1,58.944374
0x875c,63.54093
0x1cdd,72.653625
0xc5b0,33.078526
0x9eaf,23.895866
0x66df,67.35263
0x107c,77.30244
0x9f1d,72.587585
0x9d34,78.98506
0x66a9,87.550575
0x722a,76.62325
0x5e91,80.36406
0xd7a,76.56676
0xc7be,67.070335
0x47f3,40.50276
0x1168,75.647354
0x8fdc,78.990326
0x6aa2,29.697224
0x63d3,73.35652
0xac28,74.767075
0x6d74,59.40393
0x411d,64.510155
0xbc3a,82.848335
0x30b5,73.03363
0xab36,69.6548
0x1653,59.943504
0x2294,28.471817
0x90b7,69.66966
0x83e0,73.48357
0x8d63,78.02411
0x3038,76.038475
0x7293,72.4315
0x7c1a,83.15533
0xa43e,77.06613
0x4c03,78.939606
0xc7fe,66.869804
0x7cfd,79.56433
0xa4f8,50.581394
0x3ff1,72.19884
0xa2a8,81.7762
0x7656,82.04814
0xb226,72.48105
0xc443,80.4175
0x7d7a,76.8825
0x6075,73.98001
0x45f2,65.51752
0x86f7,75.193344
0x121a,81.09981
0x5d53,65.02718
0xb292,77.37302
0x155a,68.45143
0xc6bd,70.97696
0x9716,78.733475
0x1e7e,77.8749
0x1b9a,71.35428
0x584c,73.20999
0x5b83,81.72076
0x24db,82.59344
0x2a4e,77.78523
0x9455,79.52823
0x589c,80.28044
0x8e04,80.85248
0x4420,86.50195
0xbb11,80.960144
0x7c73,23.23293
0x58be,80.61736
0xb0dd,75.55622
0x254c,70.6315
0x532c,72.83689
