Property_ID,Habitability_score
0x6e93,28.565613
0x8787,80.30327
0x6c17,62.30536
0x9dbd,65.58461
0xbfde,81.35635
0x6a39,66.707214
0x47a6,73.95147
0x7687,71.42598
0x963a,75.332535
0xbcbb,72.42166
0x4950,64.04409
0x316a,75.58242
0x6b21,56.103256
0x6252,72.79358
0xa67f,83.717476
0x2cd8,78.06607
0x5926,32.684853
0x9a42,80.625244
0x4b5e,76.356285
0x76af,70.57465
0xb44b,72.4891
0x2e49,75.08263
0x83fc,59.504734
0x26b1,37.228184
0x210b,84.03911
0xb384,89.96688
0x455e,82.62579
0x6ae6,78.24007
0x9aff,73.48075
0x6916,85.90433
0x145a,81.79888
0xbfd0,72.79849
0x1ffa,73.984634
0x9412,85.109375
0x9860,81.17952
0x690f,93.2671
0x80ec,77.35444
0x7223,83.055305
0xf99,59.392525
0x953d,66.33748
0x4305,90.623
0x639e,74.90577
0x2ba8,74.892815
0x8c0c,82.89659
0x284b,76.12458
0xa832,80.8639
0xbeea,81.397194
0xaaa7,38.524315
0xc702,72.48791
0x7817,85.35427
0x56d5,61.67252
0x3d65,83.336
0x5ed6,83.16706
0xc0d4,88.086754
0x4abb,22.322748
0x4f8e,79.6896
0xa4c8,66.140396
0x9085,70.35228
0xb1aa,68.868515
0x3a63,88.404396
0x15ac,67.35329
0x1066,74.65722
0x5ff1,74.12846
0x35f3,80.100876
0x9dba,72.12528
0x78df,73.55106
0x3261,90.658325
0x5fbc,86.28598
0xf3a,78.77927
0x5578,83.848656
0x8867,94.30886
0xfad,70.743515
0x8f94,80.304245
0x55b9,81.786705
0xc320,76.70933
0x6cbc,80.89174
0x8226,74.74246
0xc937,90.96297
0x67cb,75.05225
0xbbb4,68.45634
0xa086,80.50274
0x6e13,76.708435
0xc633,73.64512
0x7d66,60.040833
0x62d9,84.89157
0x6c54,84.30774
0x2194,76.89212
0x5af6,87.158554
0x1278,88.92971
0xeaf,72.550545
0xaf6b,38.36726
0x6f27,78.17399
0x8d0d,69.04721
0x6c70,71.939865
0x7213,73.167946
0x89a6,71.956184
0x6543,90.827515
0x5d77,74.96682
0x2ffd,78.49103
0x402c,82.87728
0x93df,81.71504
0x5162,74.26502
0x26e2,76.1278
0x6c33,64.930534
0x21b6,76.763596
0xc799,70.94715
0x7011,76.203705
0x8018,85.000946
0xc73f,76.50877
0x7af1,80.82708
0x69b8,85.63603
0x8a31,81.25418
0x9497,84.34435
0x9495,72.80366
0x488c,69.26802
0xbab1,53.214214
0x875c,59.70533
0x1cdd,74.80416
0xc5b0,27.130545
0x9eaf,24.492546
0x66df,69.12425
0x107c,79.53157
0x9f1d,74.77814
0x9d34,76.40263
0x66a9,89.112305
0x722a,78.64382
0x5e91,80.89717
0xd7a,78.81099
0xc7be,70.39081
0x47f3,42.811954
0x1168,78.18514
0x8fdc,78.20581
0x6aa2,30.421711
0x63d3,76.88693
0xac28,74.13215
0x6d74,58.629368
0x411d,66.871666
0xbc3a,83.451836
0x30b5,64.64481
0xab36,69.51274
0x1653,63.876953
0x2294,25.250315
0x90b7,72.14015
0x83e0,75.321304
0x8d63,76.891975
0x3038,77.232605
0x7293,71.91525
0x7c1a,87.468925
0xa43e,77.097824
0x4c03,78.205635
0xc7fe,70.32679
0x7cfd,82.61919
0xa4f8,43.18623
0x3ff1,77.133484
0xa2a8,83.50596
0x7656,81.71356
0xb226,71.78967
0xc443,73.896866
0x7d7a,77.083984
0x6075,75.02027
0x45f2,66.51716
0x86f7,82.477
0x121a,84.06311
0x5d53,64.26357
0xb292,80.03205
0x155a,75.60407
0xc6bd,71.75438
0x9716,80.32159
0x1e7e,80.081406
0x1b9a,75.90773
0x584c,73.43049
0x5b83,81.11519
0x24db,79.40221
0x2a4e,78.95647
0x9455,81.75435
0x589c,83.344185
0x8e04,79.71928
0x4420,87.86406
0xbb11,78.66109
0x7c73,25.787378
0x58be,79.758446
0xb0dd,74.7263
0x254c,71.10246
0x532c,73.2984
0x79ad,73.99537
0x6702,85.09158
0x229c,72.05988
0x77c7,87.359085
0xa3a,75.20954
0xa415,78.609344
0xa2b1,71.1456
0xbe0c,80.27184
0x4160,87.97204
0xaaf0,50.73328
0x95fd,74.01352
0x3521,78.85705
0x9752,77.80585
0x820c,69.18811
0xf84,77.694305
0x4c8e,75.85396
0x132a,78.235596
0x668,75.4422
0x3d7e,64.93169
0xa6f2,77.08315
0xb2cf,87.038216
0x7408,88.5719
0x3105,51.390972
0x1e67,94.442604
0xb018,77.51846
0x37b2,82.49263
0x63d9,64.92711
0xad38,68.65516
0x2625,79.16056
0x7686,78.070694
0x2cf7,69.52504
0xc27a,67.43915
0xbeaa,72.38308
0x5096,96.28234
0x252c,63.22797
0x702b,79.76268
0x65a0,68.684814
0xc5f6,87.354805
0x3779,32.12036
0xa657,80.80372
0x90c8,77.01892
0x7a93,75.69108
0x6b22,89.49391
0x6348,71.77391
0x7667,91.37257
0x3d11,38.158615
0x39a6,80.40535
0x21eb,77.51431
0xad62,69.88828
0x128e,75.36995
0x3722,44.49396
0x2a7a,81.64282
0x7d0d,70.58371
0xb6f6,72.253944
0x9eb0,73.640366
0x8651,72.93793
0xad8c,78.448135
0x51e6,78.94957
0x10da,37.070667
0xb3c8,86.16318
0x35c7,72.91364
0x393a,26.491335
0x83ac,81.13353
0x25e1,19.868158
0x61c8,73.394745
0xa7d5,16.578453
0x4c30,72.214325
0xa86,67.65439
0x8015,83.525734
