Property_ID,Habitability_score
0x6e93,57.90625
0x8787,69.25
0x6c17,73.5
0x9dbd,73.84375
0xbfde,84.59375
0x6a39,57.90625
0x47a6,76.8125
0x7687,68.875
0x963a,79.96875
0xbcbb,72.1875
0x4950,68.875
0x316a,75.90625
0x6b21,71.125
0x6252,79.34375
0xa67f,86.3125
0x2cd8,64.59375
0x5926,63.09375
0x9a42,78.875
0x4b5e,73.84375
0x76af,69.25
0xb44b,57.90625
0x2e49,64.59375
0x83fc,57.90625
0x26b1,65.46875
0x210b,72.1875
0xb384,85.65625
0x455e,77.46875
0x6ae6,81.03125
0x9aff,79.34375
0x6916,75.90625
0x145a,83.59375
0xbfd0,72.1875
0x1ffa,74.46875
0x9412,79.34375
0x9860,76.8125
0x690f,88.0
0x80ec,78.09375
0x7223,71.3125
0xf99,60.84375
0x953d,74.75
0x4305,85.65625
0x639e,83.03125
0x2ba8,65.46875
0x8c0c,74.46875
0x284b,76.8125
0xa832,82.375
0xbeea,74.75
0xaaa7,69.25
0xc702,84.78125
0x7817,76.5625
0x56d5,73.84375
0x3d65,81.03125
0x5ed6,71.3125
0xc0d4,82.0625
0x4abb,57.90625
0x4f8e,80.1875
0xa4c8,60.84375
0x9085,72.1875
0xb1aa,76.8125
0x3a63,85.46875
0x15ac,81.03125
0x1066,72.1875
0x5ff1,72.1875
0x35f3,66.78125
0x9dba,71.3125
0x78df,82.71875
0x3261,88.0
0x5fbc,69.25
0xf3a,72.1875
0x5578,73.84375
0x8867,90.09375
0xfad,72.1875
0x8f94,82.0625
0x55b9,74.34375
0xc320,76.8125
0x6cbc,65.46875
0x8226,62.53125
0xc937,85.65625
0x67cb,76.8125
0xbbb4,75.90625
0xa086,73.5
0x6e13,74.46875
0xc633,62.53125
0x7d66,73.84375
0x62d9,73.5
0x6c54,69.25
0x2194,74.46875
0x5af6,73.5
0x1278,79.09375
0xeaf,81.03125
0xaf6b,59.96875
0x6f27,68.03125
0x8d0d,57.90625
0x6c70,78.09375
0x7213,72.1875
0x89a6,62.53125
0x6543,84.59375
0x5d77,62.53125
0x2ffd,82.375
0x402c,80.1875
0x93df,74.75
0x5162,62.53125
0x26e2,69.25
0x6c33,57.90625
0x21b6,82.71875
0xc799,74.75
0x7011,65.46875
0x8018,71.40625
0xc73f,74.75
0x7af1,79.09375
0x69b8,76.8125
0x8a31,73.84375
0x9497,82.71875
0x9495,79.09375
0x488c,71.3125
0xbab1,72.1875
0x875c,72.1875
0x1cdd,62.53125
0xc5b0,65.46875
0x9eaf,57.5625
0x66df,74.75
0x107c,72.1875
0x9f1d,82.0625
0x9d34,76.8125
0x66a9,84.78125
0x722a,79.09375
0x5e91,82.0625
0xd7a,73.84375
0xc7be,79.34375
0x47f3,72.1875
0x1168,64.59375
0x8fdc,71.40625
0x6aa2,62.53125
0x63d3,80.1875
0xac28,57.90625
0x6d74,74.15625
