,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Num,Side,Group,Number
8693,Earth,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,G,3,S,13,1
8694,Earth,False,TRAPPIST-1e,19.0,False,0.0,9.0,0.0,2823.0,0.0,F,4,S,18,1
8695,Europa,True,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,C,0,S,19,1
8696,Europa,False,TRAPPIST-1e,38.0,False,0.0,6652.0,0.0,181.0,585.0,C,1,S,21,1
8697,Earth,False,TRAPPIST-1e,20.0,False,10.0,0.0,635.0,0.0,0.0,F,5,S,23,1
8698,Earth,False,TRAPPIST-1e,31.0,False,0.0,1615.0,263.0,113.0,60.0,F,7,P,27,1
8699,Europa,True,55 Cancri e,21.0,False,0.0,,0.0,0.0,0.0,B,2,P,29,1
8700,Europa,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,D,0,S,32,1
8701,Europa,True,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,D,0,S,32,2
8702,Earth,False,55 Cancri e,24.0,False,0.0,639.0,0.0,0.0,0.0,F,7,S,33,1
8703,Earth,False,TRAPPIST-1e,19.0,False,339.0,3.0,136.0,237.0,0.0,F,9,S,37,1
8704,Europa,False,TRAPPIST-1e,45.0,False,932.0,74.0,,7.0,1010.0,D,2,P,40,1
8705,Europa,False,TRAPPIST-1e,44.0,False,0.0,1561.0,0.0,14.0,224.0,D,2,P,40,2
8706,Mars,True,TRAPPIST-1e,46.0,False,0.0,0.0,0.0,0.0,0.0,E,0,P,42,1
8707,Earth,False,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,1687.0,92.0,G,4,P,46,1
8708,Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,903.0,,F,11,P,46,2
8709,Earth,False,TRAPPIST-1e,20.0,False,2.0,12.0,253.0,457.0,690.0,F,11,P,46,3
8710,Europa,True,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,B,0,S,47,1
8711,Europa,False,TRAPPIST-1e,29.0,False,0.0,7708.0,243.0,569.0,343.0,,,,47,2
8712,Europa,False,TRAPPIST-1e,40.0,False,26.0,1925.0,8.0,3144.0,63.0,B,0,S,47,3
8713,Earth,False,TRAPPIST-1e,30.0,False,0.0,878.0,26.0,3.0,0.0,G,5,S,48,1
8714,Earth,False,TRAPPIST-1e,14.0,False,,0.0,0.0,1609.0,0.0,E,1,P,49,1
8715,Europa,True,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,B,4,P,54,1
8716,Europa,False,55 Cancri e,27.0,False,0.0,6977.0,0.0,4.0,1235.0,B,4,P,54,2
8717,Europa,False,55 Cancri e,66.0,False,39.0,6452.0,0.0,1409.0,155.0,B,4,P,54,3
8718,Earth,False,TRAPPIST-1e,24.0,False,1784.0,8.0,18.0,18.0,0.0,G,5,P,55,1
8719,Europa,False,55 Cancri e,19.0,False,293.0,3495.0,5273.0,118.0,422.0,C,1,P,57,1
8720,Earth,True,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,E,2,P,59,1
8721,Earth,False,TRAPPIST-1e,21.0,False,0.0,619.0,12.0,3.0,0.0,F,12,P,60,1
8722,Earth,True,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0,G,8,S,63,1
8723,Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,G,9,S,65,1
8724,Earth,False,TRAPPIST-1e,19.0,False,598.0,0.0,30.0,0.0,0.0,G,11,S,75,1
8725,Earth,True,TRAPPIST-1e,48.0,False,0.0,0.0,0.0,0.0,0.0,G,12,S,79,1
8726,Earth,False,TRAPPIST-1e,23.0,False,14.0,870.0,0.0,0.0,23.0,G,7,P,80,1
8727,Earth,False,TRAPPIST-1e,24.0,False,483.0,0.0,87.0,214.0,0.0,G,8,P,83,1
8728,Earth,False,TRAPPIST-1e,19.0,False,0.0,20.0,135.0,265.0,367.0,E,3,P,87,1
8729,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,F,19,S,89,1
8730,Earth,False,TRAPPIST-1e,27.0,False,66.0,1736.0,0.0,0.0,15.0,G,10,P,93,1
8731,Earth,True,TRAPPIST-1e,6.0,False,,0.0,0.0,0.0,0.0,G,17,S,94,1
8732,Earth,False,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,866.0,0.0,F,21,S,94,2
8733,Earth,False,PSO J318.5-22,23.0,False,0.0,0.0,1235.0,0.0,0.0,F,18,P,95,1
8734,Earth,False,PSO J318.5-22,30.0,False,1.0,0.0,1585.0,0.0,484.0,F,22,S,96,1
8735,Earth,False,TRAPPIST-1e,,,0.0,17.0,997.0,0.0,0.0,G,13,P,100,1
8736,Earth,False,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,G,13,P,100,2
8737,Earth,False,TRAPPIST-1e,20.0,False,1.0,0.0,0.0,599.0,0.0,F,25,S,104,1
8738,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,F,26,S,106,1
8739,Earth,False,TRAPPIST-1e,34.0,False,0.0,0.0,39.0,1.0,556.0,F,22,P,109,1
8740,Earth,False,PSO J318.5-22,24.0,False,0.0,22.0,82.0,0.0,686.0,E,4,P,117,1
8741,Earth,False,TRAPPIST-1e,29.0,False,14.0,869.0,,1.0,0.0,G,14,P,118,1
8742,Earth,False,TRAPPIST-1e,20.0,False,1037.0,1.0,2.0,0.0,1576.0,F,26,P,121,1
8743,Earth,True,55 Cancri e,5.0,False,0.0,0.0,0.0,0.0,0.0,G,15,P,124,1
8744,Europa,True,55 Cancri e,22.0,False,0.0,0.0,0.0,0.0,0.0,B,6,P,125,1
8745,Europa,False,TRAPPIST-1e,16.0,False,3966.0,2872.0,0.0,0.0,2458.0,B,6,P,125,2
8746,Earth,True,55 Cancri e,7.0,False,0.0,0.0,0.0,0.0,0.0,G,16,P,130,1
8747,Earth,False,55 Cancri e,36.0,False,0.0,0.0,571.0,36.0,0.0,F,28,S,131,1
8748,Mars,False,55 Cancri e,26.0,False,46.0,315.0,2305.0,0.0,97.0,D,4,S,132,1
8749,Earth,False,TRAPPIST-1e,40.0,False,413.0,514.0,1.0,0.0,0.0,F,28,P,135,1
8750,Earth,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,G,24,S,137,1
8751,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,F,30,S,142,1
8752,Mars,False,TRAPPIST-1e,23.0,False,378.0,402.0,0.0,0.0,509.0,F,30,S,142,2
8753,Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,F,30,S,142,3
8754,Europa,False,55 Cancri e,30.0,False,0.0,8853.0,6108.0,29.0,3523.0,C,2,P,143,1
8755,Earth,False,TRAPPIST-1e,56.0,False,0.0,44.0,23.0,723.0,0.0,E,6,P,145,1
8756,Europa,True,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,B,7,P,150,1
8757,Europa,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,B,7,P,150,2
8758,Earth,False,TRAPPIST-1e,19.0,False,32.0,0.0,521.0,0.0,223.0,F,32,S,153,1
8759,Earth,True,PSO J318.5-22,39.0,False,0.0,0.0,0.0,0.0,0.0,G,21,P,154,1
8760,Mars,False,TRAPPIST-1e,38.0,False,2.0,26.0,148.0,1213.0,0.0,F,33,P,155,1
8761,Mars,,TRAPPIST-1e,,False,0.0,0.0,0.0,0.0,0.0,F,34,P,156,1
8762,Europa,False,TRAPPIST-1e,35.0,False,0.0,463.0,0.0,1502.0,585.0,A,1,P,157,1
8763,Earth,False,55 Cancri e,26.0,False,832.0,0.0,0.0,21.0,136.0,E,9,S,158,1
