,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Num,Side,Group,Number,Transported
0,Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,B,0,P,1,1,False
1,Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,F,0,S,2,1,True
2,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,A,0,S,3,1,False
3,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,A,0,S,3,2,False
4,Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,F,1,S,4,1,True
5,Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,F,0,P,5,1,True
6,Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,F,2,S,6,1,True
7,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,,G,0,S,6,2,True
8,Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,F,3,S,7,1,True
9,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,B,1,P,8,1,True
10,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,,0.0,0.0,B,1,P,8,2,True
11,Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,B,1,P,8,3,True
12,Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,F,1,P,9,1,True
13,Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,G,1,S,10,1,False
14,Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,F,2,P,11,1,True
15,Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,,,,12,1,False
16,Mars,False,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,F,3,P,14,1,False
17,Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,F,4,P,15,1,False
18,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,F,5,P,16,1,True
19,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,G,0,P,17,1,True
20,Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,F,6,P,17,2,False
21,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,E,0,S,20,1,False
22,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,E,0,S,20,2,False
23,Earth,True,55 Cancri e,29.0,False,0.0,0.0,,0.0,0.0,E,0,S,20,3,False
24,Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,E,0,S,20,4,True
25,Earth,True,PSO J318.5-22,1.0,False,,0.0,0.0,0.0,0.0,E,0,S,20,5,False
26,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,E,0,S,20,6,False
27,Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,D,0,P,22,1,False
28,Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,,0.0,0.0,C,2,S,24,1,True
29,Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,F,6,S,25,1,False
30,Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,C,0,P,26,1,False
31,Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,F,8,P,28,1,False
32,Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,G,4,S,30,1,False
33,Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,F,9,P,31,1,True
34,Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,F,9,P,31,2,True
35,Mars,False,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,F,9,P,31,3,True
36,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,D,1,S,34,1,True
37,Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,D,1,P,35,1,False
38,Earth,False,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,F,8,S,36,1,False
