id,pred
20000,0.99
20001,0.99
20002,0.01
20003,0.01
20004,0.01
20005,0.01
20006,0.01
20007,0.99
20008,0.99
20009,0.01
20010,0.01
20011,0.01
20012,0.99
20013,0.99
20014,0.99
20015,0.99
20016,0.01
20017,0.01
20018,0.01
20019,0.01
20020,0.01
20021,0.99
20022,0.99
20023,0.01
20024,0.99
20025,0.01
20026,0.99
20027,0.99
20028,0.01
20029,0.01
20030,0.01
20031,0.99
20032,0.99
20033,0.01
20034,0.01
20035,0.99
20036,0.01
20037,0.01
20038,0.99
20039,0.99
20040,0.01
20041,0.99
20042,0.01
20043,0.01
20044,0.01
20045,0.01
20046,0.99
20047,0.01
20048,0.01
20049,0.99
20050,0.99
20051,0.99
20052,0.01
20053,0.99
20054,0.01
20055,0.01
20056,0.01
20057,0.01
20058,0.99
20059,0.01
20060,0.99
20061,0.01
20062,0.01
20063,0.99
20064,0.01
20065,0.99
20066,0.01
20067,0.01
20068,0.99
20069,0.99
20070,0.01
20071,0.01
20072,0.01
20073,0.99
20074,0.01
20075,0.99
20076,0.01
20077,0.99
20078,0.01
20079,0.99
20080,0.01
20081,0.01
20082,0.01
20083,0.99
20084,0.99
20085,0.01
20086,0.99
20087,0.01
20088,0.01
20089,0.99
20090,0.99
20091,0.01
20092,0.99
20093,0.01
20094,0.01
20095,0.01
20096,0.99
20097,0.01
20098,0.01
20099,0.01
20100,0.01
20101,0.01
20102,0.99
20103,0.99
20104,0.99
20105,0.01
20106,0.01
20107,0.01
20108,0.01
20109,0.01
20110,0.99
20111,0.99
20112,0.99
20113,0.01
20114,0.01
20115,0.01
20116,0.01
20117,0.99
20118,0.01
20119,0.01
20120,0.99
20121,0.01
20122,0.01
20123,0.01
20124,0.01
20125,0.01
20126,0.99
20127,0.99
20128,0.99
20129,0.01
20130,0.01
20131,0.01
20132,0.99
20133,0.01
20134,0.01
20135,0.99
20136,0.01
20137,0.01
20138,0.99
20139,0.01
20140,0.01
20141,0.99
20142,0.01
20143,0.01
20144,0.01
20145,0.99
20146,0.01
20147,0.99
20148,0.99
20149,0.01
20150,0.99
20151,0.01
20152,0.01
20153,0.01
20154,0.01
20155,0.99
20156,0.01
20157,0.01
20158,0.99
20159,0.01
20160,0.01
20161,0.01
20162,0.01
20163,0.01
20164,0.99
20165,0.01
20166,0.01
20167,0.99
20168,0.01
20169,0.01
20170,0.01
20171,0.99
20172,0.01
20173,0.01
20174,0.01
20175,0.99
20176,0.01
20177,0.01
20178,0.01
20179,0.01
20180,0.01
20181,0.99
20182,0.99
20183,0.01
20184,0.01
20185,0.99
20186,0.99
20187,0.01
20188,0.99
20189,0.01
20190,0.01
20191,0.99
20192,0.99
