id,failure
26570,0
26571,0
26572,0
26573,0
26574,0
26575,0
26576,0
26577,0
26578,0
26579,0
26580,0
26581,0
26582,0
26583,0
26584,0
26585,0
26586,0
26587,0
26588,0
26589,0
26590,0
26591,0
26592,0
26593,1
26594,0
26595,0
26596,0
26597,0
26598,0
26599,1
26600,0
26601,0
26602,0
26603,0
26604,1
26605,0
26606,0
26607,0
26608,1
26609,1
26610,0
26611,0
26612,0
26613,1
26614,0
26615,0
26616,0
26617,0
26618,0
26619,1
26620,1
26621,0
26622,0
26623,0
26624,0
26625,0
26626,0
26627,1
26628,0
26629,1
26630,0
26631,1
26632,0
26633,0
26634,1
26635,1
26636,0
26637,0
26638,0
26639,0
26640,1
26641,1
26642,0
26643,0
26644,1
26645,0
26646,0
26647,0
26648,0
26649,0
26650,0
26651,0
26652,1
26653,0
26654,0
26655,0
26656,0
26657,0
26658,0
26659,1
26660,0
26661,0
26662,1
26663,0
26664,0
26665,0
26666,0
26667,0
26668,1
26669,0
26670,1
26671,0
26672,0
26673,0
26674,1
26675,0
26676,0
26677,1
26678,0
26679,0
26680,0
26681,0
26682,1
26683,0
26684,0
26685,0
26686,0
26687,0
26688,1
26689,0
26690,0
26691,0
26692,1
26693,0
26694,0
26695,0
26696,0
26697,0
26698,0
26699,1
26700,0
26701,1
26702,0
26703,0
26704,0
26705,0
26706,0
26707,0
26708,0
26709,0
26710,0
26711,1
26712,0
26713,0
26714,0
26715,1
26716,0
26717,1
26718,1
26719,0
26720,0
26721,0
26722,1
26723,0
26724,0
26725,1
26726,0
26727,0
26728,0
26729,0
26730,0
26731,0
26732,1
26733,0
26734,0
26735,1
26736,0
26737,0
26738,0
26739,0
26740,1
26741,1
26742,0
26743,0
26744,0
26745,0
26746,0
26747,0
26748,0
26749,0
26750,0
26751,0
26752,0
26753,0
26754,0
26755,0
26756,0
26757,0
26758,1
26759,0
26760,0
26761,0
26762,1
26763,0
26764,0
26765,0
26766,0
26767,1
26768,1
26769,1
26770,1
26771,0
26772,0
26773,0
26774,0
26775,0
26776,0
26777,0
26778,0
26779,1
26780,0
26781,0
26782,0
26783,0
26784,0
26785,0
26786,0
26787,0
26788,0
26789,0
26790,0
26791,0
26792,1
26793,0
26794,0
26795,0
26796,0
26797,0
26798,1
26799,0
26800,0
26801,1
26802,0
26803,0
26804,0
26805,0
26806,0
26807,1
26808,1
26809,1
26810,0
26811,0
26812,0
26813,0
26814,1
26815,0
26816,1
26817,0
26818,0
26819,0
26820,0
26821,0
26822,0
26823,0
26824,0
26825,0
26826,0
26827,0
26828,1
26829,1
26830,0
26831,0
26832,0
26833,0
26834,1
26835,0
26836,0
26837,0
26838,0
26839,0
26840,0
26841,0
26842,1
26843,0
26844,0
26845,1
26846,0
26847,0
26848,0
26849,0
26850,0
26851,0
26852,0
26853,0
26854,0
26855,0
26856,1
26857,0
26858,0
26859,0
26860,0
26861,0
26862,0
26863,0
26864,0
26865,0
26866,0
26867,0
26868,0
26869,0
26870,0
26871,0
26872,0
26873,0
26874,0
26875,1
26876,0
26877,0
26878,0
26879,0
26880,0
26881,0
26882,0
26883,0
26884,0
26885,0
26886,0
26887,0
26888,0
26889,0
26890,0
26891,1
26892,1
26893,0
26894,0
26895,0
26896,1
26897,0
26898,0
26899,0
26900,0
26901,1
26902,0
26903,1
26904,0
26905,0
26906,1
26907,0
26908,0
26909,0
26910,0
26911,0
26912,0
26913,0
26914,1
26915,0
26916,1
26917,0
26918,0
26919,0
26920,0
26921,1
26922,0
26923,0
26924,1
26925,0
26926,0
26927,0
26928,0
26929,0
26930,0
26931,0
26932,0
26933,1
26934,0
26935,0
26936,1
26937,0
26938,0
26939,0
26940,0
26941,0
26942,0
26943,0
26944,1
26945,0
26946,0
26947,0
26948,1
26949,1
26950,0
26951,0
26952,0
26953,0
26954,0
26955,0
26956,1
26957,0
26958,0
26959,0
26960,0
26961,0
26962,0
26963,0
26964,0
26965,0
26966,0
26967,0
26968,0
26969,1
26970,1
26971,0
26972,0
26973,0
26974,1
26975,0
26976,0
26977,0
26978,1
26979,0
26980,0
26981,0
26982,0
26983,0
26984,1
26985,0
26986,0
26987,0
26988,1
26989,1
26990,0
26991,0
26992,0
26993,0
26994,1
26995,0
26996,0
26997,1
26998,0
26999,0
27000,1
27001,1
27002,0
27003,0
27004,1
27005,1
27006,0
27007,0
27008,0
27009,0
27010,0
27011,0
27012,0
27013,0
27014,0
27015,0
27016,0
27017,0
27018,1
27019,1
27020,0
27021,0
27022,0
27023,0
27024,0
27025,0
27026,0
27027,1
27028,0
27029,0
27030,1
27031,0
27032,0
27033,1
27034,0
27035,1
27036,0
27037,0
27038,1
27039,0
27040,0
27041,0
27042,0
27043,0
27044,0
27045,0
27046,0
27047,1
27048,0
27049,0
27050,0
27051,0
27052,0
27053,0
27054,0
27055,1
27056,0
27057,1
27058,1
27059,0
27060,1
27061,1
27062,0
27063,0
27064,1
27065,0
27066,1
27067,0
27068,0
27069,0
27070,0
27071,0
27072,0
27073,0
27074,1
27075,0
27076,1
27077,0
27078,0
27079,0
27080,0
27081,0
27082,0
27083,0
27084,0
27085,0
27086,0
27087,0
27088,0
27089,0
27090,0
27091,0
27092,0
27093,0
27094,1
27095,0
27096,0
27097,0
27098,0
27099,0
27100,0
27101,1
27102,1
27103,0
27104,0
27105,0
27106,0
27107,1
27108,0
27109,0
27110,0
27111,0
27112,0
27113,0
27114,0
27115,0
27116,1
27117,0
27118,0
27119,1
27120,0
27121,0
27122,0
27123,0
27124,1
27125,0
27126,0
27127,0
27128,0
27129,1
27130,0
27131,0
27132,1
27133,0
27134,1
27135,0
27136,0
27137,0
27138,0
27139,0
27140,0
27141,0
27142,0
27143,0
27144,0
27145,0
27146,0
27147,1
27148,1
27149,0
27150,0
27151,0
27152,0
27153,0
27154,0
27155,0
27156,0
27157,0
27158,1
27159,1
27160,0
27161,0
27162,1
27163,1
27164,0
27165,0
27166,0
27167,0
27168,0
27169,1
27170,0
27171,0
27172,1
27173,0
27174,0
27175,0
27176,0
27177,1
27178,0
27179,0
27180,0
27181,0
27182,0
27183,0
27184,0
27185,0
27186,0
27187,0
27188,1
27189,1
27190,1
27191,1
27192,0
27193,0
